Skill,Verdict,Reason
"agent-browser","safe",""
"agent-reach","unknown","来自于 Clawdex 扫描的结果"
"ai-social-pro","unknown",""
"apify-ultimate-scraper","safe",""
"auto-publisher","safe",""
"browser-automation","safe","Detected: suspicious.llm_suspicious, suspicious.vt_suspicious"
"canvas","safe","Detected: suspicious.llm_suspicious, suspicious.vt_suspicious"
"caveman","unknown",""
"claude-code-runner","safe","Detected: suspicious.llm_suspicious, suspicious.vt_suspicious"
"cloudbase","unknown",""
"competitive-analysis","safe",""
"competitor-teardown","safe","Detected: suspicious.llm_suspicious, suspicious.vt_suspicious"
"content-generator","unknown",""
"content-hunter","unknown","Error: <urlopen error timed out>"
"context-product-manager","unknown",""
"CPO Chief Product Officer","unknown",""
"cron-mastery","safe",""
"customer-persona","safe","ClawHub Official security_status=suspicious"
"desktop-control","safe",""
"desktop-control-1-0-0","safe",""
"diagnose","unknown",""
"diagram-generator","safe",""
"diagram-maker","unknown",""
"doubao-chat","safe","Detected: suspicious.llm_suspicious, suspicious.vt_suspicious"
"douyin-transcribe","unknown",""
"easy-opencode","safe",""
"edgeone-clawscan","unknown",""
"evomap","safe",""
"feature-requirements-clarification","unknown",""
"feishu-doc","safe","Detected: suspicious.llm_suspicious, suspicious.vt_suspicious"
"feishu-drive","safe","ClawHub Official security_status=suspicious"
"feishu-perm","unknown",""
"feishu-smart-doc-writer","safe","Detected: suspicious.llm_suspicious, suspicious.vt_suspicious"
"feishu-wiki","safe","ClawHub Official security_status=suspicious"
"filesystem","safe",""
"find-skills","safe","ClawHub Official security_status=suspicious"
"free-ai-video-editor","unknown",""
"free-video-editor","unknown",""
"Frontend Design","unknown",""
"frontend-design","unknown","来自于 Clawdex 扫描的结果"
"frontend-design-pro","unknown",""
"github","safe",""
"grill-me","unknown",""
"hd-infoimage","safe","Detected: suspicious.llm_suspicious, suspicious.vt_suspicious"
"healthcheck","safe","Detected: suspicious.llm_suspicious, suspicious.vt_suspicious"
"huashu-nuwa","unknown",""
"jianying","unknown",""
"jingmai-product-publish","unknown",""
"Market Research","unknown",""
"mcporter","safe","ClawHub Official security_status=suspicious"
"mem0","safe","ClawHub Official security_status=suspicious"
"memory-dream","unknown",""
"memory-hygiene","safe","Detected: suspicious.llm_suspicious, suspicious.vt_suspicious"
"Mobile","unknown",""
"multi-agent-collaboration","safe","Detected: suspicious.llm_suspicious, suspicious.vt_suspicious"
"multi-search-engine","safe",""
"nano-banana-pro","safe","ClawHub Official security_status=suspicious"
"node-connect","unknown",""
"node-inspect-debugger","unknown",""
"Office","unknown",""
"openclaw-ledger","safe","ClawHub Official security_status=suspicious"
"opencli","unknown",""
"opencli-agent","unknown",""
"opencli-explorer","unknown",""
"opencli-oneshot","unknown",""
"opencode","safe",""
"opencode-acp-control","safe","ClawHub Official security_status=suspicious"
"opencode-cli","unknown",""
"opencode-controller","safe",""
"openmaic","unknown",""
"phoenixclaw-ledger","safe",""
"playwright-cli","unknown",""
"playwright-scraper-skill","safe","Detected: suspicious.llm_suspicious, suspicious.vt_suspicious"
"prd-writer","unknown",""
"Product Manager","unknown",""
"product-strategy","unknown",""
"python-debugpy","unknown",""
"ralph-loop","unknown","来自于 Clawdex 扫描的结果"
"react-best-practices","safe",""
"remotion-video-toolkit","safe",""
"requirements-analysis","safe",""
"searxng","safe",""
"Self-Improving Proactive Agent","unknown",""
"Self-Improving Agent Proactive Self-Reflection","unknown",""
"shorts-editor","unknown",""
"simplify","safe",""
"skill-creator","safe",""
"social-content","safe","Detected: suspicious.llm_suspicious, suspicious.vt_suspicious"
"social-media-agent","safe","ClawHub Official security_status=suspicious"
"social-media-manager","safe","Detected: suspicious.llm_suspicious, suspicious.vt_suspicious"
"social-media-publish","safe",""
"spike","unknown",""
"taskflow","unknown","来自于 Clawdex 扫描的结果"
"taskflow-inbox-triage","unknown",""
"triple-memory","safe","Detected: suspicious.llm_suspicious, suspicious.vt_suspicious"
"ui-design","safe",""
"ui-ux-pro-max","safe","ClawHub Official security_status=suspicious"
"user-research","unknown",""
"video-frames","safe",""
"video-maker-free","unknown",""
"weather","safe",""
"web-access","unknown",""
"web-monitor","unknown","Error: <urlopen error timed out>"
"web-scraper-as-a-service","safe",""
"wechat","unknown","Error: <urlopen error timed out>"
"wechat-article-scraper","unknown",""
"wechat-mp-cn","unknown","Error: <urlopen error timed out>"
"wechat-video-editor","unknown",""
"wiki-knowledge-base","unknown",""
"windows-control","safe",""
"wireframe","unknown",""
