2026-04-09 18:15:04 | INFO  | app.service.llm.ollama_provider | __init__:63 | Ollama Provider 初始化成功: qwen3-vl:32b
2026-04-09 18:15:04 | INFO  | app.service.llm.router | _initialize_providers:56 | 初始化 LLM 提供者: qwen3-vl:32b
2026-04-09 18:15:05 | INFO  | app.service.llm.ollama_provider | __init__:63 | Ollama Provider 初始化成功: qwen3-vl:32b-instruct
2026-04-09 18:15:05 | INFO  | app.service.llm.router | _initialize_providers:56 | 初始化 LLM 提供者: qwen3-vl:32b-instruct
2026-04-09 18:15:05 | INFO  | app.service.llm.ollama_provider | __init__:63 | Ollama Provider 初始化成功: qwen3-vl:32b-instruct
2026-04-09 18:15:05 | INFO  | app.service.llm.manager | initialize:44 | LLM 管理器初始化成功
2026-04-09 18:15:05 | INFO  | cli.service.service_initializer | initialize_cli_services:43 | ✓ LLM 管理器初始化完成
2026-04-09 18:15:05 | INFO  | app.service.agents.factory | _initialize_agents:57 | 初始化 Agent: UFOAgent
2026-04-09 18:15:05 | INFO  | app.service.agents.factory | _initialize_agents:57 | 初始化 Agent: RAGAgent
2026-04-09 18:15:05 | INFO  | app.service.agents.factory | _initialize_agents:57 | 初始化 Agent: PlannerAgent
2026-04-09 18:15:05 | INFO  | cli.service.service_initializer | initialize_cli_services:55 | ✓ Agent 工厂初始化完成
2026-04-09 18:15:05 | INFO  | dependencies.redis | get_client:35 | Redis 连接初始化完成
2026-04-09 18:15:05 | INFO  | app.service.memory.short_term | initialize:51 | 短期记忆 (Redis) 初始化完成
2026-04-09 18:15:05 | INFO  | app.service.memory.long_term | initialize:63 | 长期记忆未启用（向量存储不可用）
2026-04-09 18:15:05 | INFO  | app.service.memory.manager | initialize:60 | 记忆管理器初始化完成（短期+长期）
2026-04-09 18:15:05 | INFO  | cli.service.service_initializer | initialize_cli_services:78 | ✓ 记忆管理器初始化完成
2026-04-09 18:15:05 | INFO  | app.service.rag.document_loaders | register_loader:291 | 注册文档加载器: .pdf
2026-04-09 18:15:05 | INFO  | app.service.rag.document_loaders | register_loader:291 | 注册文档加载器: .docx
2026-04-09 18:15:05 | INFO  | app.service.rag.document_loaders | register_loader:291 | 注册文档加载器: .doc
2026-04-09 18:15:05 | INFO  | app.service.rag.document_loaders | register_loader:291 | 注册文档加载器: .txt
2026-04-09 18:15:05 | INFO  | app.service.rag.document_loaders | register_loader:291 | 注册文档加载器: .md
2026-04-09 18:15:05 | INFO  | app.service.rag.document_loaders | register_loader:291 | 注册文档加载器: .markdown
2026-04-09 18:15:05 | INFO  | app.service.rag.document_loaders | init_default_loaders:335 | 初始化默认文档加载器完成
2026-04-09 18:15:05 | INFO  | app.service.rag.reranker | load_model:100 | 重排序模型加载: BAAI/bge-reranker-v2-m3 (模拟)
2026-04-09 18:15:05 | INFO  | app.service.rag.rag_service | initialize:116 | RAG 服务初始化完成
2026-04-09 18:15:05 | INFO  | cli.service.service_initializer | initialize_cli_services:98 | ✓ RAG 服务初始化完成
2026-04-09 18:15:05 | INFO  | app.service.skills.skill_registry | initialize:168 | 技能注册表初始化完成
2026-04-09 18:15:05 | INFO  | app.service.skills.skill_loader | load_from_skill_md:195 | Loaded skill 'ufo_actions' from SKILL.md (E:\workspace\skills\jingmai-cli\resources\ufo_actions\SKILL.md), content length=11189 chars
2026-04-09 18:15:05 | INFO  | app.service.skills.skill_registry | register_skill:223 | Registered skill: ufo_actions (automation)
2026-04-09 18:15:05 | INFO  | app.service.skills.skill_loader | load_from_directory:128 | Loaded 1 skills from E:\workspace\skills\jingmai-cli\resources
2026-04-09 18:15:05 | INFO  | cli.service.service_initializer | initialize_cli_services:140 | ✓ 技能注册表初始化完成 (已加载 1 个技能)
2026-04-09 18:15:05 | INFO  | cli.service.service_initializer | initialize_cli_services:148 | CLI 服务初始化完成
2026-04-09 18:15:05 | INFO  | dependencies.database | get_async_engine:52 | 异步数据库引擎初始化完成
2026-04-09 18:15:05 | INFO  | app.service.common.base | create_task:131 | 创建任务: task_3ca91573 - 打开qq音乐，搜索发如雪-周杰伦的歌曲来播放
2026-04-09 18:15:05 | INFO  | app.service.agents.base | execute:308 | [exec_054f5770] 步骤 1/20 [规划]: 思考
2026-04-09 18:15:05 | INFO  | app.service.skills.skill_registry | initialize:168 | 技能注册表初始化完成
2026-04-09 18:15:05 | INFO  | app.service.skills.skill_loader | initialize:54 | 技能加载器初始化完成
2026-04-09 18:15:05 | INFO  | app.service.skills.skill_loader | load_from_skill_md:195 | Loaded skill 'ufo_actions' from SKILL.md (resources\ufo_actions\SKILL.md), content length=11189 chars
2026-04-09 18:15:05 | INFO  | app.service.skills.skill_registry | register_skill:223 | Registered skill: ufo_actions (automation)
2026-04-09 18:15:05 | INFO  | app.service.skills.skill_loader | load_from_directory:128 | Loaded 1 skills from resources
2026-04-09 18:15:05 | INFO  | app.service.agents.ufo_agent | _ensure_skills_loaded:216 | [UFOAgent] 加载技能 'ufo_actions', content=11189 chars
2026-04-09 18:15:05 | INFO  | app.service.agents.ufo_agent | _ensure_skills_loaded:218 | [UFOAgent] 技能内容总长度: 11191 chars
2026-04-09 18:15:05 | INFO  | app.service.agents.ufo_agent | think:988 | [exec_054f5770] 思考: Plan-and-Solve 规划阶段 (任务分解)
2026-04-09 18:15:05 | INFO  | app.service.agents.ufo_agent | _capture_screenshot:499 | [UFOAgent] 截图成功: 原始尺寸 2560x1440
2026-04-09 18:15:05 | INFO  | app.service.agents.ufo_agent | _capture_screenshot:520 | [UFOAgent] 缩放后: 1280x720, 缩放比例: 0.5000, 坐标缩放: 0.9375
2026-04-09 18:15:05 | INFO  | app.service.agents.ufo_agent | _plan:837 | [exec_054f5770] 规划阶段: 已捕获当前屏幕截图 (1280x720) 用于分析
2026-04-09 18:15:05 | INFO  | app.service.llm.manager | chat:96 | [LLMManager] 多模态消息: 1 张图片, base64 总长度=470936
2026-04-09 18:15:29 | INFO  | app.service.agents.ufo_agent | _plan:957 | [exec_054f5770] 规划完成: ```json
{
  "steps": [
    {
      "type": "open_app",
      "app_name": "qqmusic",
      "search_keyword": "QQ音乐",
      "description": "智能打开QQ音乐应用，检...
2026-04-09 18:15:29 | INFO  | app.service.agents.base | execute:344 | [exec_054f5770] 规划成功，重置规划重试计数
2026-04-09 18:15:29 | INFO  | app.service.agents.base | execute:364 | [exec_054f5770] 步骤 1/20 [规划]: 行动
2026-04-09 18:15:29 | INFO  | app.service.agents.ufo_agent | _capture_screenshot:499 | [UFOAgent] 截图成功: 原始尺寸 2560x1440
2026-04-09 18:15:29 | INFO  | app.service.agents.ufo_agent | _capture_screenshot:520 | [UFOAgent] 缩放后: 2400x1350, 缩放比例: 0.9375, 坐标缩放: 0.9375
2026-04-09 18:15:29 | INFO  | app.service.agents.ufo_agent | act:1166 | [exec_054f5770] 行动前: 已保存操作前截图 (用于效果对比)
2026-04-09 18:15:29 | INFO  | app.service.agents.ufo_agent | _normalize_step_fields:2894 | [UFOAgent] open_app 映射 app_name: 'qqmusic' → 'qqmusic', search_keyword='qq音乐'
2026-04-09 18:15:29 | INFO  | app.service.agents.ufo_agent | _parse_action_plan:2353 | [exec_054f5770] _parse_action_plan: 直接提取到 6 个步骤 (跳过 LLM 调用)
2026-04-09 18:15:29 | INFO  | app.service.agents.ufo_agent | _log_parsed_steps:2498 | [UFOAgent] 步骤 1: type=open_app, 无坐标参数, 描述='智能打开QQ音乐应用，检查进程、激活窗口或启动应用'
2026-04-09 18:15:29 | INFO  | app.service.agents.ufo_agent | _log_parsed_steps:2498 | [UFOAgent] 步骤 2: type=wait, 无坐标参数, 描述='等待QQ音乐窗口加载完成'
2026-04-09 18:15:29 | INFO  | app.service.agents.ufo_agent | _log_parsed_steps:2492 | [UFOAgent] 步骤 3: type=click, 截图坐标=(200,200), 截图=2400x1350, 屏幕=2560x1440
2026-04-09 18:15:29 | INFO  | app.service.agents.ufo_agent | _log_parsed_steps:2498 | [UFOAgent] 步骤 4: type=type, 无坐标参数, 描述='在搜索框中输入搜索关键词并按回车'
2026-04-09 18:15:29 | INFO  | app.service.agents.ufo_agent | _log_parsed_steps:2492 | [UFOAgent] 步骤 5: type=click, 截图坐标=(300,300), 截图=2400x1350, 屏幕=2560x1440
2026-04-09 18:15:29 | INFO  | app.service.agents.ufo_agent | _log_parsed_steps:2492 | [UFOAgent] 步骤 6: type=click, 截图坐标=(400,400), 截图=2400x1350, 屏幕=2560x1440
2026-04-09 18:15:29 | INFO  | app.service.agents.ufo_agent | act:1170 | [exec_054f5770] 解析到 6 个操作步骤
2026-04-09 18:15:29 | INFO  | app.service.agents.ufo_agent | act:1222 | [exec_054f5770] 执行操作 1/6: open_app - 智能打开QQ音乐应用，检查进程、激活窗口或启动应用
2026-04-09 18:15:29 | INFO  | app.service.agents.ufo_agent | _open_or_focus_app:3392 | [open_app] 步骤1/4: 检查任务栏可见窗口 (app='qqmusic')
2026-04-09 18:15:32 | INFO  | app.service.agents.ufo_agent | _open_or_focus_app:3394 | [open_app] 任务栏可见窗口 (17): ['����', '�е��Ʊʼ� - Google Chrome', '����Ա: Windows PowerShell', '����Ա:  C:\\Windows\\system32\\cmd.exe ', '�����˵�', '����', 'FlClash', '*new 2 - Notepad++ [Administrator]', 'Ollama', 'jingmai-agent �C .env']
2026-04-09 18:15:32 | INFO  | app.service.agents.ufo_agent | _open_or_focus_app:3421 | [open_app] 步骤2/4: 检查系统托盘区域 (app='qqmusic')
2026-04-09 18:15:33 | INFO  | app.service.agents.ufo_agent | _open_or_focus_app:3423 | [open_app] 系统托盘应用 (0): []
2026-04-09 18:15:33 | INFO  | app.service.agents.ufo_agent | _open_or_focus_app:3443 | [open_app] 步骤2: 系统托盘中未找到 'qqmusic'
2026-04-09 18:15:33 | INFO  | app.service.agents.ufo_agent | _open_or_focus_app:3446 | [open_app] 步骤3/4: 检查进程列表 (app='qqmusic')
2026-04-09 18:15:34 | INFO  | app.service.agents.ufo_agent | _open_or_focus_app:3448 | [open_app] 进程检查结果: running=True, count=1
2026-04-09 18:15:34 | INFO  | app.service.agents.ufo_agent | _open_or_focus_app:3451 | [open_app]   - PID=42772, Name=QQMusic
2026-04-09 18:15:34 | INFO  | app.service.agents.ufo_agent | _open_or_focus_app:3454 | [open_app] 进程 'qqmusic' 正在运行，尝试唤出窗口
2026-04-09 18:15:36 | INFO  | app.service.agents.ufo_agent | _try_restore_process_window:3499 | [open_app] 恢复窗口结果: activation_failed:�޷��������͡����ֱ������
2026-04-09 18:15:37 | INFO  | app.service.agents.ufo_agent | _open_or_focus_app:3457 | [open_app] 步骤3 成功: 从进程唤出窗口 (started_from_existing_process)
2026-04-09 18:15:39 | INFO  | app.service.agents.ufo_agent | _execute_action:3132 | [UFOAgent] open_app 窗口验证通过: 前台进程 'qqmusic' 匹配目标 'qqmusic'
2026-04-09 18:15:39 | INFO  | app.service.agents.ufo_agent | act:1830 | [exec_054f5770] 操作成功: open_app
2026-04-09 18:15:39 | INFO  | app.service.agents.ufo_agent | act:1841 | [exec_054f5770] open_app 成功后已重置关联操作的去重计数 (0 条记录)
2026-04-09 18:15:39 | INFO  | app.service.agents.ufo_agent | act:1854 | [exec_054f5770] open_app 后屏幕已变化，标记步骤 3 (click) 待截图分析坐标 (窗口标题提示: qq音乐, 进程: qqmusic)
2026-04-09 18:15:39 | INFO  | app.service.agents.ufo_agent | act:1854 | [exec_054f5770] open_app 后屏幕已变化，标记步骤 5 (click) 待截图分析坐标 (窗口标题提示: qq音乐, 进程: qqmusic)
2026-04-09 18:15:39 | INFO  | app.service.agents.ufo_agent | act:1854 | [exec_054f5770] open_app 后屏幕已变化，标记步骤 6 (click) 待截图分析坐标 (窗口标题提示: qq音乐, 进程: qqmusic)
2026-04-09 18:15:40 | INFO  | app.service.agents.ufo_agent | act:1222 | [exec_054f5770] 执行操作 2/6: wait - 等待QQ音乐窗口加载完成
2026-04-09 18:15:43 | INFO  | app.service.agents.ufo_agent | act:1830 | [exec_054f5770] 操作成功: wait
2026-04-09 18:15:43 | INFO  | app.service.agents.ufo_agent | act:1222 | [exec_054f5770] 执行操作 3/6: click - 点击QQ音乐的搜索框（坐标为截图估算位置，实际需根据界面调整）
2026-04-09 18:15:43 | INFO  | app.service.agents.ufo_agent | act:1242 | [exec_054f5770] 步骤 3: click 缺少坐标，等待 1.0s 后截图分析获取点位...
2026-04-09 18:15:44 | INFO  | app.service.agents.ufo_agent | act:1253 | [exec_054f5770] 步骤 3: 前台进程 'qqmusic' 已匹配目标 'qqmusic'，跳过窗口等待
2026-04-09 18:15:44 | INFO  | app.service.agents.ufo_agent | _capture_screenshot:499 | [UFOAgent] 截图成功: 原始尺寸 2560x1440
2026-04-09 18:15:44 | INFO  | app.service.agents.ufo_agent | _capture_screenshot:520 | [UFOAgent] 缩放后: 2400x1350, 缩放比例: 0.9375, 坐标缩放: 0.9375
2026-04-09 18:15:45 | INFO  | app.service.agents.ufo_agent | _update_window_context:276 | [UFOAgent] 前台窗口: '50 Feet (Explicit) - SoMo   ', 区域=(32,138)-(1081,921), 尺寸=1049x783
2026-04-09 18:15:45 | INFO  | app.service.agents.ufo_agent | _crop_to_active_window:433 | [UFOAgent] 窗口裁剪: 截图(2400x1350) → 裁剪(993x833), 偏移=(25,124)
2026-04-09 18:15:45 | INFO  | app.service.agents.ufo_agent | act:1276 | [exec_054f5770] 坐标分析: 窗口裁剪=是, 窗口='50 Feet (Explicit) - SoMo   ', 发送图像=993x833, 裁剪偏移=(25,124), scale=0.9375
2026-04-09 18:15:45 | INFO  | app.service.llm.manager | chat:96 | [LLMManager] 多模态消息: 1 张图片, base64 总长度=370684
2026-04-09 18:15:49 | INFO  | app.service.agents.ufo_agent | act:1406 | [exec_054f5770] 坐标分析LLM返回: {"x": 330, "y": 49, "candidates": [{"x": 330, "y": 49, "desc": "搜索框中心点"}, {"x": 468, "y": 49, "desc": "搜索框右侧的放大镜图标"}, {"x": 523, "y": 49, "desc": "搜索框右侧的绿色按钮"}]}
2026-04-09 18:15:49 | INFO  | app.service.agents.ufo_agent | act:1475 | [exec_054f5770] 解析到 3 个候选坐标: [{'x': 330, 'y': 49, 'desc': '搜索框中心点'}, {'x': 468, 'y': 49, 'desc': '搜索框右侧的放大镜图标'}, {'x': 523, 'y': 49, 'desc': '搜索框右侧的绿色按钮'}]
2026-04-09 18:15:49 | INFO  | app.service.agents.ufo_agent | act:1559 | [exec_054f5770] 窗口裁剪坐标: 裁剪内(330,49) + 偏移(25,124) → 截图坐标(355,173), 屏幕=(355/0.9375,173/0.9375)
2026-04-09 18:15:49 | INFO  | app.service.agents.ufo_agent | _execute_action:2953 | [UFOAgent] 操作 'click' 坐标参数: {'x': 355, 'y': 173} | 屏幕分辨率: 2560x1440
2026-04-09 18:15:49 | INFO  | app.service.agents.ufo_agent | _capture_screenshot:499 | [UFOAgent] 截图成功: 原始尺寸 2560x1440
2026-04-09 18:15:49 | INFO  | app.service.agents.ufo_agent | _capture_screenshot:520 | [UFOAgent] 缩放后: 2400x1350, 缩放比例: 0.9375, 坐标缩放: 0.9375
2026-04-09 18:15:49 | INFO  | app.service.agents.ufo_agent | _execute_action:2994 | [UFOAgent] 坐标缩放: 截图(355,173) → 屏幕(378,184), scale=0.9375
2026-04-09 18:15:50 | INFO  | app.service.agents.ufo_agent | act:1830 | [exec_054f5770] 操作成功: click
2026-04-09 18:15:50 | INFO  | app.service.agents.ufo_agent | act:1222 | [exec_054f5770] 执行操作 4/6: type - 在搜索框中输入搜索关键词并按回车
2026-04-09 18:15:53 | INFO  | app.service.agents.ufo_agent | _capture_screenshot:499 | [UFOAgent] 截图成功: 原始尺寸 2560x1440
2026-04-09 18:15:53 | INFO  | app.service.agents.ufo_agent | _capture_screenshot:520 | [UFOAgent] 缩放后: 2400x1350, 缩放比例: 0.9375, 坐标缩放: 0.9375
2026-04-09 18:15:53 | INFO  | app.service.llm.manager | chat:96 | [LLMManager] 多模态消息: 1 张图片, base64 总长度=958264
2026-04-09 18:15:59 | INFO  | app.service.agents.ufo_agent | act:1670 | [exec_054f5770] type验证成功: 页面已跳转到artist_page，搜索操作成功
2026-04-09 18:15:59 | INFO  | app.service.agents.ufo_agent | act:1830 | [exec_054f5770] 操作成功: type
2026-04-09 18:15:59 | INFO  | app.service.agents.ufo_agent | act:1222 | [exec_054f5770] 执行操作 5/6: click - 在搜索结果中点击歌曲《发如雪》-周杰伦（坐标为估算位置，实际需根据搜索结果界面调整）
2026-04-09 18:15:59 | INFO  | app.service.agents.ufo_agent | act:1242 | [exec_054f5770] 步骤 5: click 缺少坐标，等待 2.0s 后截图分析获取点位...
2026-04-09 18:16:01 | INFO  | app.service.agents.ufo_agent | act:1253 | [exec_054f5770] 步骤 5: 前台进程 'qqmusic' 已匹配目标 'qqmusic'，跳过窗口等待
2026-04-09 18:16:01 | INFO  | app.service.agents.ufo_agent | _capture_screenshot:499 | [UFOAgent] 截图成功: 原始尺寸 2560x1440
2026-04-09 18:16:01 | INFO  | app.service.agents.ufo_agent | _capture_screenshot:520 | [UFOAgent] 缩放后: 2400x1350, 缩放比例: 0.9375, 坐标缩放: 0.9375
2026-04-09 18:16:01 | INFO  | app.service.agents.ufo_agent | _update_window_context:276 | [UFOAgent] 前台窗口: '50 Feet (Explicit) - SoMo   ', 区域=(32,138)-(1081,921), 尺寸=1049x783
2026-04-09 18:16:01 | INFO  | app.service.agents.ufo_agent | _crop_to_active_window:433 | [UFOAgent] 窗口裁剪: 截图(2400x1350) → 裁剪(993x833), 偏移=(25,124)
2026-04-09 18:16:01 | INFO  | app.service.agents.ufo_agent | act:1276 | [exec_054f5770] 坐标分析: 窗口裁剪=是, 窗口='50 Feet (Explicit) - SoMo   ', 发送图像=993x833, 裁剪偏移=(25,124), scale=0.9375
2026-04-09 18:16:01 | INFO  | app.service.llm.manager | chat:96 | [LLMManager] 多模态消息: 1 张图片, base64 总长度=309128
2026-04-09 18:16:07 | INFO  | app.service.agents.ufo_agent | act:1406 | [exec_054f5770] 坐标分析LLM返回: {"x": 174, "y": 418, "candidates": [{"x": 174, "y": 418, "desc": "搜索结果中《发如雪》-周杰伦的主版本（VIP/高品质）"}, {"x": 174, "y": 490, "desc": "《发如雪 (Live)》-周杰伦版本"}, {"x": 174, "y": 561, "desc": "《发如雪 (Live)》-周杰伦/李安版本"}]}
